Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
5,1000,0.2,0.2,50.0,1000,2097,1662,667,50622.953125,0.013176
6,1000,0.2,0.2,50.0,1000,2132,1697,699,51136.101562,0.013669
7,1000,0.2,0.2,50.0,1000,2068,1650,697,50455.152344,0.013814
8,1000,0.2,0.2,50.0,1000,2122,1700,675,49882.457031,0.013532
9,1000,0.2,0.2,50.0,1000,2136,1699,675,49592.125000,0.013611
10,1000,0.2,0.2,50.0,1000,2010,1636,686,48777.984375,0.014064
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,2866,1702,563,50560.777344,0.011135
2,1000,0.4,0.2,50.0,1000,2699,1621,572,49432.367188,0.011571
3,1000,0.4,0.2,50.0,1000,2806,1696,555,49821.761719,0.011140
4,1000,0.4,0.2,50.0,1000,2829,1704,610,51488.066406,0.011847
5,1000,0.4,0.2,50.0,1000,2855,1723,606,51305.968750,0.011811
6,1000,0.4,0.2,50.0,1000,2881,1732,609,50843.289062,0.011978
7,1000,0.4,0.2,50.0,1000,2907,1716,587,51011.156250,0.011507
8,1000,0.4,0.2,50.0,1000,2747,1679,580,50241.492188,0.011544
9,1000,0.4,0.2,50.0,1000,2800,1659,560,49606.406250,0.011289
10,1000,0.4,0.2,50.0,1000,2847,1706,595,50668.769531,0.011743
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,3727,1514,399,51063.683594,0.007814
2,1000,0.6,0.2,50.0,1000,3799,1485,371,51236.265625,0.007241
3,1000,0.6,0.2,50.0,1000,3555,1436,376,47474.527344,0.007920
4,1000,0.6,0.2,50.0,1000,3656,1502,408,50784.675781,0.008034
5,1000,0.6,0.2,50.0,1000,3790,1494,396,51579.890625,0.007677
6,1000,0.6,0.2,50.0,1000,3646,1472,389,50960.492188,0.007633
7,1000,0.6,0.2,50.0,1000,3756,1499,370,50023.183594,0.007397
8,1000,0.6,0.2,50.0,1000,3528,1412,372,48582.953125,0.007657
9,1000,0.6,0.2,50.0,1000,3648,1421,371,49283.347656,0.007528
10,1000,0.6,0.2,50.0,1000,3803,1482,379,50381.011719,0.007523
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4512,934,139,49198.894531,0.002825
2,1000,0.8,0.2,50.0,1000,4468,926,131,48823.195312,0.002683
3,1000,0.8,0.2,50.0,1000,4441,901,130,48493.984375,0.002681
4,1000,0.8,0.2,50.0,1000,4605,970,144,50085.031250,0.002875
5,1000,0.8,0.2,50.0,1000,4663,956,128,50877.015625,0.002516
6,1000,0.8,0.2,50.0,1000,4572,936,143,50195.878906,0.002849
7,1000,0.8,0.2,50.0,1000,4484,881,130,49264.914062,0.002639
8,1000,0.8,0.2,50.0,1000,4606,926,129,49907.609375,0.002585
9,1000,0.8,0.2,50.0,1000,4568,876,133,49433.250000,0.002690
10,1000,0.8,0.2,50.0,1000,4587,905,127,49892.476562,0.002545
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.1,50.0,1000,1961,1568,776,50824.332031,0.015268
2,1000,0.2,0.1,50.0,1000,1966,1547,748,49992.128906,0.014962
3,1000,0.2,0.1,50.0,1000,1961,1547,768,49839.472656,0.015409
4,1000,0.2,0.1,50.0,1000,1978,1555,766,50566.765625,0.015148
5,1000,0.2,0.1,50.0,1000,1937,1530,765,50127.480469,0.015261
6,1000,0.2,0.1,50.0,1000,1983,1581,765,50536.082031,0.015138
7,1000,0.2,0.1,50.0,1000,1897,1516,765,49561.714844,0.015435
8,1000,0.2,0.1,50.0,1000,1996,1592,785,50745.644531,0.015469
9,1000,0.2,0.1,50.0,1000,1997,1564,758,49529.300781,0.015304
10,1000,0.2,0.1,50.0,1000,1966,1599,797,50158.300781,0.015890
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.4,50.0,1000,2438,1929,545,50189.914062,0.010859
2,1000,0.2,0.4,50.0,1000,2539,2010,522,50350.984375,0.010367
3,1000,0.2,0.4,50.0,1000,2365,1869,512,49247.988281,0.010396
4,1000,0.2,0.4,50.0,1000,2447,1989,534,50275.234375,0.010622
5,1000,0.2,0.4,50.0,1000,2475,2011,503,49916.535156,0.010077
6,1000,0.2,0.4,50.0,1000,2456,1973,546,49912.339844,0.010939
7,1000,0.2,0.4,50.0,1000,2438,1934,519,50070.429688,0.010365
8,1000,0.2,0.4,50.0,1000,2510,2009,566,50499.328125,0.011208
9,1000,0.2,0.4,50.0,1000,2393,1883,495,48864.890625,0.010130
10,1000,0.2,0.4,50.0,1000,2423,1944,533,49741.460938,0.010715
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.6,50.0,1000,2980,2389,364,49976.304688,0.007283
2,1000,0.2,0.6,50.0,1000,3020,2388,339,48924.046875,0.006929
3,1000,0.2,0.6,50.0,1000,2950,2342,369,49827.082031,0.007406
4,1000,0.2,0.6,50.0,1000,2927,2379,389,49124.816406,0.007919
5,1000,0.2,0.6,50.0,1000,2985,2397,356,49851.542969,0.007141
6,1000,0.2,0.6,50.0,1000,2978,2403,397,49152.992188,0.008077
7,1000,0.2,0.6,50.0,1000,2933,2316,364,49395.906250,0.007369
8,1000,0.2,0.6,50.0,1000,2993,2385,373,50586.156250,0.007374
9,1000,0.2,0.6,50.0,1000,3008,2335,390,49219.734375,0.007924
10,1000,0.2,0.6,50.0,1000,2920,2364,372,49035.425781,0.007586
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.8,50.0,1000,3745,2992,211,51325.472656,0.004111
2,1000,0.2,0.8,50.0,1000,3651,2954,189,47694.253906,0.003963
3,1000,0.2,0.8,50.0,1000,3741,2983,234,49414.296875,0.004735
4,1000,0.2,0.8,50.0,1000,3750,2975,212,50118.769531,0.004230
5,1000,0.2,0.8,50.0,1000,3746,2991,204,49800.039062,0.004096
6,1000,0.2,0.8,50.0,1000,3596,2865,206,50057.164062,0.004115
7,1000,0.2,0.8,50.0,1000,3758,2958,199,51112.175781,0.003893
8,1000,0.2,0.8,50.0,1000,3765,3045,208,50155.878906,0.004147
9,1000,0.2,0.8,50.0,1000,3882,3034,226,51256.707031,0.004409
10,1000,0.2,0.8,50.0,1000,3746,3036,213,49434.183594,0.004309
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.0,50.0,20,25,24,19,1117.638794,0.017000
2,20,0.0,0.0,50.0,20,24,23,19,1235.269165,0.015381
3,20,0.0,0.0,50.0,20,24,23,19,1097.030151,0.017319
