Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,402716,8847,109,49070.105469,0.002221
2,1000,0.8,0.2,50.0,1000,421549,9176,106,50768.320312,0.002088
3,1000,0.8,0.2,50.0,1000,413760,8998,106,49724.574219,0.002132
4,1000,0.8,0.2,50.0,1000,415706,9090,107,50294.347656,0.002127
5,1000,0.8,0.2,50.0,1000,426399,9153,105,50913.589844,0.002062
6,1000,0.8,0.2,50.0,1000,414134,9050,110,49933.625000,0.002203
7,1000,0.8,0.2,50.0,1000,416603,9145,106,50837.304688,0.002085
8,1000,0.8,0.2,50.0,1000,423111,9134,109,50543.015625,0.002157
9,1000,0.8,0.2,50.0,1000,418900,9137,103,50889.308594,0.002024
10,1000,0.8,0.2,50.0,1000,400233,8811,104,49166.714844,0.002115
