Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4512,934,139,49198.894531,0.002825
2,1000,0.8,0.2,50.0,1000,4468,926,131,48823.195312,0.002683
3,1000,0.8,0.2,50.0,1000,4441,901,130,48493.984375,0.002681
4,1000,0.8,0.2,50.0,1000,4605,970,144,50085.031250,0.002875
5,1000,0.8,0.2,50.0,1000,4663,956,128,50877.015625,0.002516
6,1000,0.8,0.2,50.0,1000,4572,936,143,50195.878906,0.002849
7,1000,0.8,0.2,50.0,1000,4484,881,130,49264.914062,0.002639
8,1000,0.8,0.2,50.0,1000,4606,926,129,49907.609375,0.002585
9,1000,0.8,0.2,50.0,1000,4568,876,133,49433.250000,0.002690
10,1000,0.8,0.2,50.0,1000,4587,905,127,49892.476562,0.002545
